"id","pregunta_id:id","respuesta_id:id","accion_type"
"Depn_6543","adj_contrato","Rpsta_10003","abre"
"Depn_6544","num_cont_obra","Rpsta_10001","abre"
"Depn_6545","rif_emp_cont","Rpsta_10001","abre"
"Depn_6546","num_cont_obra","Rpsta_10002","cierra"
"Depn_6547","rif_emp_cont","Rpsta_10002","cierra"
"Depn_6548","dif_presentedas","Rpsta_10109","abre"
"Depn_6549","dif_presentedas","Rpsta_10110","cierra"
"Depn_6550","ind_avan_fis_avan","Rpsta_10008","cierra"
"Depn_6551","ind_mont_pag_fecha","Rpsta_10008","cierra"
"Depn_6552","desc_act_real_fecha","Rpsta_10008","cierra"
"Depn_6553","proyect_ten_dif_avanc","Rpsta_10008","cierra"
"Depn_6554","carg_2_fot","Rpsta_10008","cierra"
"Depn_6555","ind_avan_fis_avan","Rpsta_10007","abre"
"Depn_6556","ind_mont_pag_fecha","Rpsta_10007","abre"
"Depn_6557","desc_act_real_fecha","Rpsta_10007","abre"
"Depn_6558","proyect_ten_dif_avanc","Rpsta_10007","abre"
"Depn_6559","carg_2_fot","Rpsta_10007","abre"
"Depn_6560","ind_avan_fis_paral","Rpsta_10008","abre"
"Depn_6561","ind_mont_pag_ahor_paral","Rpsta_10008","abre"
"Depn_6562","ind_fech_paral_paral","Rpsta_10008","abre"
"Depn_6563","desc_act_real_ahor_para","Rpsta_10008","abre"
"Depn_6564","ind_raz_paral_paral","Rpsta_10008","abre"
"Depn_6565","ind_avan_fis_paral","Rpsta_10007","cierra"
"Depn_6566","ind_mont_pag_ahor_paral","Rpsta_10007","cierra"
"Depn_6567","ind_fech_paral_paral","Rpsta_10007","cierra"
"Depn_6568","desc_act_real_ahor_para","Rpsta_10007","cierra"
"Depn_6569","ind_raz_paral_paral","Rpsta_10007","cierra"
"Depn_6570","dif_presentedas_culm","Rpsta_10221","abre"
"Depn_6571","dif_presentedas_culm","Rpsta_10222","cierra"
"Depn_6572","adj_contrato","Rpsta_10004","cierra"
"Depn_6573","ind_avan_fis_avan","Rpsta_10230","cierra"
"Depn_6574","ind_mont_pag_fecha","Rpsta_10230","cierra"
"Depn_6575","desc_act_real_fecha","Rpsta_10230","cierra"
"Depn_6576","proyect_ten_dif_avanc","Rpsta_10230","cierra"
"Depn_6577","carg_2_fot","Rpsta_10230","cierra"
"Depn_6578","ind_avan_fis_paral","Rpsta_10230","cierra"
"Depn_6579","ind_mont_pag_ahor_paral","Rpsta_10230","cierra"
"Depn_6580","ind_fech_paral_paral","Rpsta_10230","cierra"
"Depn_6581","desc_act_real_ahor_para","Rpsta_10230","cierra"
"Depn_6582","ind_raz_paral_paral","Rpsta_10230","cierra"
"Depn_6583","ind_mont_ttl_culm","Rpsta_10230","abre"
"Depn_6584","metas_alcanz_culm","Rpsta_10230","abre"
"Depn_6585","vehiculos_ids_culm","Rpsta_10230","abre"
"Depn_6586","materiales_ids_culm","Rpsta_10230","abre"
"Depn_6587","maquinarias_ids_culm","Rpsta_10230","abre"
"Depn_6588","equipos_ids_equipos_culm","Rpsta_10230","abre"
"Depn_6589","culmin_culminacion","Rpsta_10230","abre"
"Depn_6590","proyect_ten_dif_culm","Rpsta_10230","abre"
"Depn_6591","fecha_culm_culm","Rpsta_10230","abre"
"Depn_6592","carg_act_culm_culm","Rpsta_10230","abre"
"Depn_6593","proyect_inau_culm","Rpsta_10230","abre"
"Depn_6594","fech_inau_culm","Rpsta_10230","abre"
"Depn_6595","carg_4_fot_culm","Rpsta_10230","abre"
"Depn_6596","num_cont_obra","Rpsta_10005","abre"
"Depn_6597","rif_emp_cont","Rpsta_10005","abre"
"Depn_6598","fech_ini_proy_act","Rpsta_10005","abre"
