id,respuesta,pregunta_id:id,sequence,categoria_id:id
Rpsta_10001,Contrataci贸n,proyect_eje_por,10,
Rpsta_10002,Autogesti贸n,proyect_eje_por,10,
Rpsta_10003,Si,inicio_adm,10,
Rpsta_10004,No,inicio_adm,10,
Rpsta_10005,Adjudicado,adj_contrato,10,
Rpsta_10006,No Adjudicado,adj_contrato,10,
Rpsta_10007,En ejecucion,estatus_proyecto,10,
Rpsta_10008,Paralizado,estatus_proyecto,10,
Rpsta_10009,1%,ind_avan_fis_avan,10,
Rpsta_10010,2%,ind_avan_fis_avan,10,
Rpsta_10011,3%,ind_avan_fis_avan,10,
Rpsta_10012,4%,ind_avan_fis_avan,10,
Rpsta_10013,5%,ind_avan_fis_avan,10,
Rpsta_10014,6%,ind_avan_fis_avan,10,
Rpsta_10015,7%,ind_avan_fis_avan,10,
Rpsta_10016,8%,ind_avan_fis_avan,10,
Rpsta_10017,9%,ind_avan_fis_avan,10,
Rpsta_10018,10%,ind_avan_fis_avan,10,
Rpsta_10019,11%,ind_avan_fis_avan,10,
Rpsta_10020,12%,ind_avan_fis_avan,10,
Rpsta_10021,13%,ind_avan_fis_avan,10,
Rpsta_10022,14%,ind_avan_fis_avan,10,
Rpsta_10023,15%,ind_avan_fis_avan,10,
Rpsta_10024,16%,ind_avan_fis_avan,10,
Rpsta_10025,17%,ind_avan_fis_avan,10,
Rpsta_10026,18%,ind_avan_fis_avan,10,
Rpsta_10027,19%,ind_avan_fis_avan,10,
Rpsta_10028,20%,ind_avan_fis_avan,10,
Rpsta_10029,21%,ind_avan_fis_avan,10,
Rpsta_10030,22%,ind_avan_fis_avan,10,
Rpsta_10031,23%,ind_avan_fis_avan,10,
Rpsta_10032,24%,ind_avan_fis_avan,10,
Rpsta_10033,25%,ind_avan_fis_avan,10,
Rpsta_10034,26%,ind_avan_fis_avan,10,
Rpsta_10035,27%,ind_avan_fis_avan,10,
Rpsta_10036,28%,ind_avan_fis_avan,10,
Rpsta_10037,29%,ind_avan_fis_avan,10,
Rpsta_10038,30%,ind_avan_fis_avan,10,
Rpsta_10039,31%,ind_avan_fis_avan,10,
Rpsta_10040,32%,ind_avan_fis_avan,10,
Rpsta_10041,33%,ind_avan_fis_avan,10,
Rpsta_10042,34%,ind_avan_fis_avan,10,
Rpsta_10043,35%,ind_avan_fis_avan,10,
Rpsta_10044,36%,ind_avan_fis_avan,10,
Rpsta_10045,37%,ind_avan_fis_avan,10,
Rpsta_10046,38%,ind_avan_fis_avan,10,
Rpsta_10047,39%,ind_avan_fis_avan,10,
Rpsta_10048,40%,ind_avan_fis_avan,10,
Rpsta_10049,41%,ind_avan_fis_avan,10,
Rpsta_10050,42%,ind_avan_fis_avan,10,
Rpsta_10051,43%,ind_avan_fis_avan,10,
Rpsta_10052,44%,ind_avan_fis_avan,10,
Rpsta_10053,45%,ind_avan_fis_avan,10,
Rpsta_10054,46%,ind_avan_fis_avan,10,
Rpsta_10055,47%,ind_avan_fis_avan,10,
Rpsta_10056,48%,ind_avan_fis_avan,10,
Rpsta_10057,49%,ind_avan_fis_avan,10,
Rpsta_10058,50%,ind_avan_fis_avan,10,
Rpsta_10059,51%,ind_avan_fis_avan,10,
Rpsta_10060,52%,ind_avan_fis_avan,10,
Rpsta_10061,53%,ind_avan_fis_avan,10,
Rpsta_10062,54%,ind_avan_fis_avan,10,
Rpsta_10063,55%,ind_avan_fis_avan,10,
Rpsta_10064,56%,ind_avan_fis_avan,10,
Rpsta_10065,57%,ind_avan_fis_avan,10,
Rpsta_10066,58%,ind_avan_fis_avan,10,
Rpsta_10067,59%,ind_avan_fis_avan,10,
Rpsta_10068,60%,ind_avan_fis_avan,10,
Rpsta_10069,61%,ind_avan_fis_avan,10,
Rpsta_10070,62%,ind_avan_fis_avan,10,
Rpsta_10071,63%,ind_avan_fis_avan,10,
Rpsta_10072,64%,ind_avan_fis_avan,10,
Rpsta_10073,65%,ind_avan_fis_avan,10,
Rpsta_10074,66%,ind_avan_fis_avan,10,
Rpsta_10075,67%,ind_avan_fis_avan,10,
Rpsta_10076,68%,ind_avan_fis_avan,10,
Rpsta_10077,69%,ind_avan_fis_avan,10,
Rpsta_10078,70%,ind_avan_fis_avan,10,
Rpsta_10079,71%,ind_avan_fis_avan,10,
Rpsta_10080,72%,ind_avan_fis_avan,10,
Rpsta_10081,73%,ind_avan_fis_avan,10,
Rpsta_10082,74%,ind_avan_fis_avan,10,
Rpsta_10083,75%,ind_avan_fis_avan,10,
Rpsta_10084,76%,ind_avan_fis_avan,10,
Rpsta_10085,77%,ind_avan_fis_avan,10,
Rpsta_10086,78%,ind_avan_fis_avan,10,
Rpsta_10087,79%,ind_avan_fis_avan,10,
Rpsta_10088,80%,ind_avan_fis_avan,10,
Rpsta_10089,81%,ind_avan_fis_avan,10,
Rpsta_10090,82%,ind_avan_fis_avan,10,
Rpsta_10091,83%,ind_avan_fis_avan,10,
Rpsta_10092,84%,ind_avan_fis_avan,10,
Rpsta_10093,85%,ind_avan_fis_avan,10,
