"id","pregunta_id:id","respuesta_id:id","accion_type"
54,"no_valido_chorencia","coherencia_valida_si","cierra"
55,"no_valido_chorencia","coherencia_valida_no","abre"
56,"no_valida_politica","politica_valida_si","cierra"
57,"no_valida_politica","politica_valida_no","abre"
58,"no_valido_concord_clasif","concord_clasif_valida_si","cierra"
59,"no_valido_concord_clasif","concord_clasif_valida_no","abre"
60,"no_valido_concord_caract","concord_caract_valida_si","cierra"
61,"no_valido_concord_caract","concord_caract_valida_no","abre"
62,"identifica_ente_avalador","aval_aval_no","cierra"
71,"identifica_ente_avalador","aval_aval_si","abre"
63,"firma_sello_avalador","aval_aval_no","cierra"
72,"firma_sello_avalador","aval_aval_si","abre"
64,"fecha_emision_aval","aval_aval_no","cierra"
73,"fecha_emision_aval","aval_aval_si","abre"
65,"ente_competente","aval_aval_no","cierra"
74,"ente_competente","aval_aval_si","abre"
66,"identifica_nombre_proyecto","aval_aval_no","cierra"
75,"identifica_nombre_proyecto","aval_aval_si","abre"
67,"aval_refiere_tramite_administ","aval_aval_no","cierra"
76,"aval_refiere_tramite_administ","aval_aval_si","abre"
69,"aval_ref_ejecu_fisica","aval_aval_no","cierra"
77,"aval_ref_ejecu_fisica","aval_aval_si","abre"
70,"exp_disp_aval_proyecto","aval_aval_no","cierra"
78,"exp_disp_aval_proyecto","aval_aval_si","abre"
50,"coordenada_plausible_ure","coordenada_plausible_ure_si","cierra"
51,"coordenada_plausible_ure","coordenada_plausible_ure_no","abre"
52,"no_valido_coordenada","coord_plausible_si","cierra"
53,"no_valido_coordenada","coord_plausible_no","abre"
